,operator,operatorLabel,C1,C2,C3,C4,C5,C6,C7,H1,H2,H3,H4,H5,H6,H7,H8,einspeisetarif
489,CHE-116.338.557,"Azienda Elettrica Comunale Bedretto, Commercio Energia Elettrica",32.83,31.473333333333333,31.078666666666667,31.0096,,,,32.105,29.9,28.157777777777778,28.157777777777778,27.286666666666665,26.372,26.733846153846155,27.286666666666665,12.85
490,CHE-114.878.297,"Comune di Ascona, Azienda Elettrica Comunale",28.96,28.3,32.4594,30.31108,,,,32.56,30.94,26.97857777777778,29.66,26.293546666666668,24.107064,26.0664,29.02,12
491,CHE-105.969.920,Aziende Industriali di Lugano (AIL) SA,30.68,30.046666666666667,32.56633333333333,30.9866,28.1238,27.061666666666667,25.860963968,34.48,32.77,29.85711111111111,31.84111111111111,29.134266666666665,27.25928,28.865692307692303,30.245466666666665,12
492,CHE-108.955.110,AGE SA,32.1611375,30.97636333333333,28.903466666666667,27.02576,23.6442,23.104333333333333,21.65778252,36.7485,34.00488,28.704933333333333,31.99368888888889,28.105093333333333,23.887528,28.232030769230768,31.07138,8
493,CHE-114.866.176,"Aziende Industriali Mendrisio, Sezione Elettricità",29.86,28.87,29.125733333333333,27.84088,25.68046,24.30834,23.332338128,35.26,32.83,29.56219047619048,30.91,28.642514285714284,27.33175428571429,28.116076923076925,29.95,13.2
494,CHE-114.866.325,"Comune di Stabio, Elettrica",26.5,25.62,25.166933333333333,24.49932,,25.917191111111112,24.57653095822222,30.320833333333333,28.102457142857144,25.434698412698413,26.41609523809524,25.984885714285717,23.26546571428572,25.15542307692308,25.56318492063492,9.51
495,CHE-105.733.725,Société Electrique des Forces de l'Aubonne SA (SEFA),40.265,38.363235,33.38,32.776,0.7,30.826524041,30.1261160290528,46.205,43.532,36.7808,41.12846666666667,35.22916,29.244748,34.90574615384615,38.80236333333333,15.7
496,CHE-113.382.680,"Commune de Belmont, Electricité",36.94,35.95,30.19614,29.340554,,,,42.34,39.91,33.93662222222222,37.99,32.59770666666667,26.290472,32.67058461538461,37.03,18.92
497,CHE-105.618.946,"Service Industriel de la Commune, Pully",37.97,37.42,36.97213333333333,34.85016,,,,40.97,39.62,35.078,38.553333333333335,34.6428,30.15384,34.93707692307692,38.02,19.19
498,CHE-105.626.437,"Commune de Lutry, Electricité",37.7775625,37.66798333333333,36.24146666666667,35.65736,,,,37.4875,37.2964,35.662444444444446,37.21955555555556,35.55453333333333,33.78036,34.866,37.22056666666667,18.6
499,CHE-108.954.903,Services industriels de la Ville de Nyon,38.1865,37.4924,36.91333333333333,35.8336,,,,41.9725,40.2688,37.54622222222222,38.922666666666665,36.6576,34.27928,35.22015384615385,38.2496,16.8
500,CHE-346.828.867,VOé distribution SA,34.30875,32.37566666666667,28.8146,26.72428,0.73,0.73,23.5976768,41.28,38.214,31.065555555555555,35.51444444444444,29.424666666666667,23.3524,29.07,33.437333333333335,12.53
501,CHE-108.954.292,"Service des Energies, Commune d'Yverdon-les-Bains",41.15975,39.878214444444446,37.943777777777775,36.90381333333333,,34.02931555555556,33.179089822222224,45.0925,42.28097142857143,38.35866666666666,40.63180952380952,37.71348571428572,34.54004571428572,37.610901098901095,39.79620952380952,18.1
502,CHE-112.571.132,"Gemeinde Simplon Dorf, Elektrizitätsversorgung",12.35,11.91,12.39,12.362,,,,14.75,13.67,12.816666666666666,12.816666666666666,12.39,11.942,12.11923076923077,12.39,14.28
503,CHE-114.918.270,"Commune de Fully, Services industriels",28.8508,28.86265,27.30133333333333,25.87877,,,,35.8348,32.692,28.669866666666667,30.20853333333333,27.3744,23.41968,26.92024615384616,28.9672,12.8
504,CHE-115.895.915,"Burgergemeinde Eischoll, Elektrizitätswerk",27.813125,25.7135,25.1027,23.27,,,,31.028125,28.012,25.628888888888888,25.628888888888888,24.43733333333333,23.1862,23.681153846153848,24.43733333333333,16
505,CHE-115.977.571,"Gemeinde Unterbäch VS, Elektrizitätswerk",20.814375,20.2345,20.591666666666665,20.0893,,,,24.47,22.898,21.00288888888889,21.65711111111111,20.418266666666668,19.61196,20.311846153846155,21.4082,11.29
506,CHE-113.886.762,"Munizipalgemeinde Eisten, Stromversorgung",25.105,24.588,31.255666666666663,30.84465,,,,27.925,26.656,25.65333333333333,25.65333333333333,25.0816,24.6256,24.833846153846157,25.152,10.82
507,CHE-103.665.722,Genossenschaft für die Stromversorgung Kalpetran GSK,28.75,27.65,,,,,,34.75,32.05,28.538888888888888,29.916666666666668,27.55666666666667,25.592,27.065384615384616,28.328333333333333,9.78
